0,130,1.25,1.65E+11
0,70,1.25,34425640974
0,80,1.25,46609786034
0,110,1.25,1.04E+11
0,100,1.25,81193705331
0,90,1.25,62062570321
0,120,1.25,1.32E+11
0,150,1.25,2.46E+11
0,140,1.25,2.03E+11
0.01,110,1.25,1.03E+11
0.01,90,1.25,61182361151
0.01,80,1.25,45827432423
0.01,100,1.25,80214503925
0.01,70,1.25,33739365333
0.01,140,1.25,2.01E+11
0.02,90,1.25,60304971326
0.01,120,1.25,1.31E+11
0.02,80,1.25,45048114144
0.01,130,1.25,1.63E+11
0.02,70,1.25,33056297949
0.01,150,1.25,2.45E+11
0.02,150,1.25,2.43E+11
0.03,70,1.25,32376491206
0.02,120,1.25,1.30E+11
0.02,110,1.25,1.02E+11
0.02,100,1.25,79237904958
0.02,140,1.25,2.00E+11
0.02,130,1.25,1.62E+11
0.03,80,1.25,44271870717
0.03,90,1.25,59430430779
0.03,100,1.25,78263931382
0.03,130,1.25,1.61E+11
0.03,140,1.25,1.99E+11
0.03,110,1.25,1.01E+11
0.03,120,1.25,1.29E+11
0.04,100,1.25,77292606148
0.03,150,1.25,2.42E+11
0.04,120,1.25,1.27E+11
0.04,110,1.25,1.00E+11
0.04,80,1.25,43498741695
0.04,90,1.25,58558769460
0.04,70,1.25,31699997568
0.04,130,1.25,1.60E+11
0.04,150,1.25,2.40E+11
0.05,70,1.25,31026869558
0.05,80,1.25,42728766647
0.05,90,1.25,57690017330
0.04,140,1.25,1.97E+11
0.05,100,1.25,76323952231
0.06,80,1.25,41961985141
0.05,130,1.25,1.58E+11
0.06,70,1.25,30357159714
0.05,110,1.25,99042232996
0.05,150,1.25,2.39E+11
0.05,140,1.25,1.96E+11
0.05,120,1.25,1.26E+11
0.06,120,1.25,1.25E+11
0.06,150,1.25,2.37E+11
0.06,100,1.25,75357992591
0.06,140,1.25,1.94E+11
0.06,130,1.25,1.57E+11
0.06,90,1.25,56824204344
0.06,110,1.25,97975519420
0.07,130,1.25,1.56E+11
0.07,110,1.25,96911296158
0.07,70,1.25,29690920554
0.07,100,1.25,74394750192
0.07,120,1.25,1.24E+11
0.07,90,1.25,55961360452
0.07,80,1.25,41198436722
0.08,80,1.25,40438160895
0.08,70,1.25,29028204536
0.08,90,1.25,55101515588
0.07,140,1.25,1.93E+11
0.08,110,1.25,95849581073
0.07,150,1.25,2.36E+11
0.08,100,1.25,73434248000
0.08,150,1.25,2.35E+11
0.09,90,1.25,54244647302
0.09,80,1.25,39681197045
0.08,120,1.25,1.23E+11
0.08,130,1.25,1.55E+11
0.08,140,1.25,1.92E+11
0.09,70,1.25,28369064017
0.1,70,1.25,27713551214
0.09,140,1.25,1.90E+11
0.09,130,1.25,1.53E+11
0.09,110,1.25,94790392027
0.09,120,1.25,1.22E+11
0.09,100,1.25,72476492447
0.09,150,1.25,2.33E+11
0.1,110,1.25,93733726535
0.1,130,1.25,1.52E+11
0.1,120,1.25,1.20E+11
0.1,80,1.25,38927384652
0.1,100,1.25,71521354130
0.1,90,1.25,53390578932
0.1,140,1.25,1.89E+11
0.11,120,1.25,1.19E+11
0.11,90,1.25,52539276411
0.11,110,1.25,92679473749
0.11,100,1.25,70568785903
0.11,80,1.25,38176540805
0.11,70,1.25,27061691802
0.1,150,1.25,2.32E+11
0.12,90,1.25,51690725747
0.12,80,1.25,37428654507
0.12,100,1.25,69618772856
0.11,150,1.25,2.30E+11
0.11,130,1.25,1.51E+11
0.12,70,1.25,26413077016
0.11,140,1.25,1.88E+11
0.13,80,1.25,36683721002
0.12,130,1.25,1.50E+11
0.13,70,1.25,25767566369
0.12,140,1.25,1.86E+11
0.12,110,1.25,91627601715
0.12,120,1.25,1.18E+11
0.12,150,1.25,2.29E+11
0.13,90,1.25,50844917550
0.13,130,1.25,1.48E+11
0.13,100,1.25,68671303489
0.13,110,1.25,90578097865
0.13,140,1.25,1.85E+11
0.13,120,1.25,1.17E+11
0.13,150,1.25,2.27E+11
0.14,120,1.25,1.16E+11
0.14,130,1.25,1.47E+11
0.14,70,1.25,25125180597
0.14,80,1.25,35941740398
0.14,100,1.25,67726369218
0.14,90,1.25,50001846208
0.14,110,1.25,89530951875
0.15,80,1.25,35202716819
0.14,140,1.25,1.84E+11
0.14,150,1.25,2.26E+11
0.15,70,1.25,24485941853
0.15,100,1.25,66783963984
0.15,110,1.25,88486155516
0.15,90,1.25,49161509374
0.15,140,1.25,1.82E+11
0.16,70,1.25,23849873918
0.16,90,1.25,48323907338
0.15,130,1.25,1.46E+11
0.16,80,1.25,34466657673
0.15,150,1.25,2.24E+11
0.15,120,1.25,1.15E+11
0.16,100,1.25,65844083914
0.16,140,1.25,1.81E+11
0.16,120,1.25,1.14E+11
0.16,150,1.25,2.23E+11
0.16,130,1.25,1.45E+11
0.16,110,1.25,87443702245
0.17,70,1.25,23217002229
